,count,mean,median,p95,min,max
t_total_ms,349.0,64.04469914040114,64.09,71.284,45.97,83.83
t_refresh_ms,349.0,62.782521489971344,62.8,69.694,45.93,82.16
t_predict_ms,349.0,1.2624928366762178,1.24,1.65,0.04,2.57
fps_inst,349.0,5.001833810888252,5.0,5.316,0.7,9.14
fps_avg,349.0,4.972091690544412,5.0,5.01,0.7,5.07
