sec,fps_sec,gpu_pct,emc_pct,ram_used_mb
2025-08-26 15:23:26,,0.0,,2901.0
2025-08-26 15:23:27,,0.0,,2902.0
2025-08-26 15:23:28,,8.0,,2899.0
2025-08-26 15:23:29,,8.0,,2896.0
2025-08-26 15:23:30,,0.0,,2898.0
2025-08-26 15:23:31,,0.0,,2900.0
2025-08-26 15:23:32,,0.0,,2901.0
2025-08-26 15:23:33,,0.0,,3013.0
2025-08-26 15:23:34,,0.0,,3065.0
2025-08-26 15:23:35,,0.0,,3092.0
2025-08-26 15:23:36,,0.0,,3143.0
2025-08-26 15:23:37,,0.0,,3167.0
2025-08-26 15:23:38,0.905,0.0,,3222.0
2025-08-26 15:23:39,1.9366666666666665,30.0,,3221.0
2025-08-26 15:23:40,2.3233333333333337,0.0,,3222.0
2025-08-26 15:23:41,2.45,0.0,,3212.0
2025-08-26 15:23:42,2.52,0.0,,3205.0
2025-08-26 15:23:43,2.5766666666666667,0.0,,3207.0
2025-08-26 15:23:44,2.6166666666666667,,,
2025-08-26 15:23:45,2.6566666666666667,0.0,,3210.0
2025-08-26 15:23:46,2.69,8.0,,3210.0
2025-08-26 15:23:47,2.716666666666667,33.0,,3210.0
2025-08-26 15:23:48,2.7350000000000003,0.0,,3210.0
2025-08-26 15:23:49,2.7466666666666666,0.0,,3200.0
2025-08-26 15:23:50,2.763333333333333,0.0,,3201.0
2025-08-26 15:23:51,2.7733333333333334,0.0,,3201.0
2025-08-26 15:23:52,2.783333333333333,0.0,,3201.0
2025-08-26 15:23:53,2.796666666666667,0.0,,3198.0
2025-08-26 15:23:54,2.8066666666666666,0.0,,3198.0
2025-08-26 15:23:55,2.8166666666666664,0.0,,3194.0
2025-08-26 15:23:56,2.82,0.0,,3197.0
2025-08-26 15:23:57,2.83,0.0,,3201.0
2025-08-26 15:23:58,2.83,0.0,,3203.0
2025-08-26 15:23:59,2.8866666666666667,0.0,,3203.0
2025-08-26 15:24:00,2.9,0.0,,3205.0
2025-08-26 15:24:01,2.9133333333333336,0.0,,3193.0
2025-08-26 15:24:02,2.9233333333333333,0.0,,3193.0
2025-08-26 15:24:03,2.93,0.0,,3193.0
2025-08-26 15:24:04,2.94,0.0,,3201.0
2025-08-26 15:24:05,2.94,0.0,,3201.0
2025-08-26 15:24:06,2.94,0.0,,3193.0
2025-08-26 15:24:07,2.94,0.0,,3197.0
2025-08-26 15:24:08,2.9466666666666668,0.0,,3195.0
2025-08-26 15:24:09,2.9500000000000006,0.0,,3194.0
2025-08-26 15:24:10,2.9500000000000006,0.0,,3195.0
2025-08-26 15:24:11,2.956666666666667,0.0,,3203.0
2025-08-26 15:24:12,2.9599999999999995,0.0,,3201.0
2025-08-26 15:24:13,2.9599999999999995,0.0,,3193.0
2025-08-26 15:24:14,2.9599999999999995,0.0,,3210.0
2025-08-26 15:24:15,2.9500000000000006,0.0,,3204.0
2025-08-26 15:24:16,2.9500000000000006,23.0,,3210.0
2025-08-26 15:24:17,2.953333333333333,0.0,,3210.0
2025-08-26 15:24:18,2.953333333333333,0.0,,3196.0
2025-08-26 15:24:19,2.9599999999999995,0.0,,3195.0
2025-08-26 15:24:20,2.9599999999999995,0.0,,3200.0
2025-08-26 15:24:21,2.956666666666667,0.0,,3206.0
2025-08-26 15:24:22,2.9500000000000006,8.0,,3190.0
2025-08-26 15:24:23,2.94,7.0,,3206.0
2025-08-26 15:24:24,2.94,18.0,,3193.0
2025-08-26 15:24:25,2.94,34.0,,3197.0
2025-08-26 15:24:26,2.94,0.0,,3196.0
2025-08-26 15:24:27,2.93,0.0,,3196.0
2025-08-26 15:24:28,2.93,0.0,,3194.0
2025-08-26 15:24:29,2.9233333333333333,41.0,,3198.0
2025-08-26 15:24:30,,0.0,,3197.0
2025-08-26 15:24:31,,0.0,,3200.0
